Position,Game,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Release Date,Last Update
724,Crypt of the NecroDancer: Nintendo Switch Edition,Brace Yourself Games,Brace Yourself Games,N/A,N/A,N/A,N/A,01st Feb 18,23rd Nov 18
725,Crysis Remastered,Crytek,Crytek,N/A,N/A,N/A,N/A,23rd Jul 20,26th May 20
726,"Crystal Crisis
Read the review",Nicalis,Nicalis,6.0,N/A,N/A,N/A,21st Mar 19,25th May 18
727,Cthulhu Saves Christmas,Limited Run Games,Zeboyd Games,N/A,N/A,N/A,N/A,28th Oct 20,08th Feb 22
728,Cuphead,Studio MDHR,Studio MDHR,N/A,N/A,N/A,N/A,18th Apr 19,01st Aug 20
729,"Cuphead - The Delicious Last Course
Read the review",Unknown,Studio MDHR,8.5,N/A,N/A,N/A,N/A,10th Jun 22
730,Cupid Parasite,Idea Factory,Idea Factory,N/A,N/A,N/A,N/A,20th Aug 20,11th May 20
731,Curse of the Sea Rats,Petoons Studio,Petoons Studio,N/A,N/A,N/A,N/A,01st May 21,17th Aug 19
732,Cyber Hook,Unknown,Blazing Stick,N/A,N/A,N/A,N/A,N/A,23rd Sep 20
733,Cyber Protocol,RedDeerGames,RedDeerGames,N/A,N/A,N/A,N/A,26th Sep 19,18th Apr 22
734,"Cyber Shadow
Read the review",Yacht Club Games,Mechanical Head Studios,8.0,N/A,N/A,N/A,01st Dec 20,16th Jul 20
735,Cytus Alpha,PM Studios,Rayark Inc.,N/A,N/A,N/A,N/A,23rd Apr 19,22nd Mar 19
736,D/Generation HD,West Coast Software,West Coast Software,N/A,N/A,N/A,N/A,27th Mar 18,23rd Mar 18
737,Daemon X Machina,Nintendo,Marvelous,N/A,N/A,N/A,N/A,13th Sep 19,12th Jun 19
738,Damascus Gear: Operation Tokyo,Arc System Works,Arc System Works,N/A,N/A,N/A,N/A,01st Mar 18,23rd Mar 18
739,Dandara,Raw Fury,Long Hat House,N/A,N/A,N/A,N/A,06th Feb 18,22nd Mar 19
740,Danganronpa Decadence,Spike Chunsoft,Spike Chunsoft,N/A,N/A,N/A,N/A,03rd Dec 21,15th Jun 21
741,Dangerous Driving 2,Three Fields Entertainment,Three Fields Entertainment,N/A,N/A,N/A,N/A,01st Dec 20,07th Jul 20
742,Danmaku Unlimited 3,Doragon Entertainment,Doragon Entertainment,N/A,N/A,N/A,N/A,13th Mar 18,23rd Mar 18
743,"Darius Cozmic Collection Arcade
Read the review",Unknown,M2,8.0,N/A,N/A,N/A,N/A,16th Jun 20
744,"Darius Cozmic Collection Console
Read the review",Unknown,M2,6.0,N/A,N/A,N/A,N/A,16th Jun 20
745,Darius Cozmic Revelation,Unknown,M2,N/A,N/A,N/A,N/A,N/A,24th Jun 20
746,Darius: Cozmic Collection,Taito,Taito,N/A,N/A,N/A,N/A,28th Feb 19,24th Feb 19
747,"Dariusburst: Another Chronicle EX+
Read the review",Unknown,Taito,6.5,N/A,N/A,N/A,N/A,06th Jun 21
748,Dark Deity,Unknown,Sword and Axe,N/A,N/A,N/A,N/A,N/A,29th Aug 21
749,Dark Devotion,Unknown,Hibernian Workshop,N/A,N/A,N/A,N/A,N/A,18th Nov 19
750,Dark Witch Music Episode: Rudymical,Flyhigh Works,Flyhigh Works,N/A,N/A,N/A,N/A,11th May 17,11th Mar 18
751,Darkest Dungeon 2,Merge Games,Red Hook Studios,N/A,N/A,N/A,N/A,01st Dec 20,27th Jun 19
752,Darksiders Genesis,THQ Nordic,Airship Syndicate,N/A,N/A,N/A,N/A,14th Feb 20,08th Jun 19
753,Darksiders II: Deathinitive Edition,THQ Nordic,Gunfire Games,N/A,N/A,N/A,N/A,26th Sep 19,09th Aug 19
754,Darksiders: Warmastered Edition,THQ Nordic,Kaiko,N/A,N/A,N/A,N/A,02nd Apr 19,20th Apr 19
755,Darkwood,Crunching Koalas,Acid Wizard Studio,N/A,N/A,N/A,N/A,16th May 19,19th May 19
756,Dauntless,Phoenix Labs,Phoenix Labs,N/A,N/A,N/A,N/A,10th Dec 19,12th Dec 18
757,DC Super Hero Girls: Teen Power,Warner Bros. Interactive Entertainment,DC Studios,N/A,N/A,N/A,N/A,04th Jun 21,18th Feb 21
758,de Blob,THQ Nordic,THQ Nordic,N/A,N/A,N/A,N/A,26th Jun 18,13th Feb 18
759,De Mambo,The Dangerous Kitchen,The Dangerous Kitchen,N/A,N/A,N/A,N/A,13th Jul 17,11th Mar 18
760,Dead by Daylight,Koch Media,Behaviour Interactive Inc.,N/A,N/A,N/A,N/A,24th Sep 19,13th Feb 19
761,Dead Cells: Fatal Falls,Unknown,Motion Twin,N/A,N/A,N/A,N/A,N/A,02nd Aug 21
762,Dead or Alive Xtreme 3: Scarlet,Koei Tecmo,Team Ninja,N/A,N/A,N/A,N/A,20th Mar 19,22nd Mar 19
763,Dead or School,Unknown,Nanafushi,N/A,N/A,N/A,N/A,N/A,15th Jul 18
764,Dead Synchronicity: Tomorrow Comes Today,Badland Studio,Fictiorama Studios,N/A,N/A,N/A,N/A,21st Nov 17,11th Mar 18
765,"Deadly Premonition 2: A Blessing in Disguise
Read the review",Rising Star Games,Toybox Games,3.0,N/A,N/A,N/A,10th Jul 20,16th May 20
766,Deadly Premonition Origins,Toybox,Toybox Games,N/A,N/A,N/A,N/A,05th Sep 20,11th May 20
767,Dear Magi: Magical Boy's Department,CaeruX,CaeruX,N/A,N/A,N/A,N/A,06th Jun 19,09th Jun 19
768,Death Come True,Izanagi Games,Too Kyo Games,N/A,N/A,N/A,N/A,25th Jun 20,17th Dec 19
769,Death Coming,Zodiac Interactive,NEXT Studios,N/A,N/A,N/A,N/A,25th Apr 19,20th Apr 19
770,"Death Road to Canada
Read the review",Unknown,Rocketcat Games,6.0,N/A,N/A,N/A,N/A,31st Jan 18
771,Death Squared,SMG Studio,SMG Studio,N/A,N/A,N/A,N/A,13th Jul 17,11th Mar 18
772,"Death's Gambit: Afterlife
Read the review",Unknown,White Rabbit,7.0,N/A,N/A,N/A,N/A,11th Oct 21
773,Decay of Logos,Rising Star Games,Amplify Creations,N/A,N/A,N/A,N/A,29th Aug 19,10th Aug 19
774,Deep Ones,Flyhigh Works,Sometimes You,N/A,N/A,N/A,N/A,28th Sep 17,11th Mar 18
775,Defoliation,Cosen,Cosen,N/A,N/A,5.0,N/A,31st May 18,21st Jun 18
776,"Degrees of Separation
Read the review",Unknown,Moondrop,5.0,N/A,N/A,N/A,N/A,19th Feb 19
777,DELTARUNE,8-4,Toby Fox,N/A,N/A,N/A,N/A,28th Feb 19,13th Feb 19
778,Demon Throttle,Unknown,Doinksoft,N/A,N/A,N/A,N/A,N/A,13th Jun 21
779,Demon Turf,Fabraz,Fabraz,N/A,N/A,N/A,N/A,01st Dec 21,18th Jun 20
780,Descent (2019),Unknown,Descendent Studios,N/A,N/A,N/A,N/A,N/A,11th Nov 18
781,Desert Child,Akupara Games,Oscar Brittain,N/A,N/A,N/A,N/A,11th Dec 18,12th Nov 18
782,Destiny Connect: Tick Tock Travelers,NIS America,Nippon Ichi Software,N/A,N/A,N/A,N/A,22nd Oct 19,22nd Mar 19
783,Detention,Coconut Island Games,Red Candle Games,N/A,N/A,N/A,N/A,01st Mar 18,22nd Feb 18
784,Devil May Cry,Capcom,Capcom,N/A,N/A,N/A,N/A,25th Jun 19,06th May 19
785,Devil May Cry 2,Unknown,Capcom,N/A,N/A,N/A,N/A,N/A,06th Nov 21
786,"Devil May Cry 3 Special Edition
Read the review",Capcom,Capcom,8.0,N/A,N/A,N/A,20th Feb 20,24th Feb 20
787,Devil’s Hunt,1C Company,Layopi Games,N/A,N/A,N/A,N/A,01st Dec 20,07th Aug 19
788,Diablo II: Resurrected,Blizzard Entertainment,Vicarious Visions,N/A,N/A,N/A,N/A,23rd Sep 21,20th Feb 21
789,Diabolik Lovers: Chaos Lineage,Idea Factory,Rejet,N/A,N/A,N/A,N/A,28th Mar 19,22nd Mar 19
790,"Die for Valhalla!
Read the review",Unknown,Monster Couch,6.0,N/A,N/A,N/A,N/A,04th Jul 18
791,Digimon Story: Cyber Sleuth Complete Edition,Bandai Namco Entertainment,Media.Vision,N/A,N/A,8.0,N/A,18th Oct 19,08th Jul 19
792,Digimon Survive,Bandai Namco Entertainment,Bandai Namco,N/A,N/A,N/A,N/A,01st Dec 20,10th Apr 19
793,Dimension Drive,2Awesome Studio,2Awesome Studio,N/A,N/A,N/A,N/A,07th Dec 17,11th Mar 18
794,Disaster Report 4 Plus: Summer Memories,NIS America,Granzella,N/A,N/A,N/A,N/A,07th Apr 20,17th Oct 19
795,"Disc Jam
Read the review",High Horse Entertainment,High Horse Entertainment,5.0,N/A,4.9,N/A,08th Feb 18,12th Feb 18
796,"Disco Dodgeball Remix
Read the review",Unknown,Zen Studios,7.0,N/A,N/A,N/A,N/A,14th May 18
797,Disco Elysium,ZA/UM,ZA/UM,N/A,N/A,N/A,N/A,01st Dec 20,31st May 20
798,Disgaea 4 Complete+,NIS America,Nippon Ichi Software,N/A,N/A,N/A,N/A,29th Oct 19,08th Jul 19
799,Disgaea 6: Defiance of Destiny,NIS America,Nippon Ichi Software,N/A,N/A,N/A,N/A,01st Jul 21,17th Sep 20
800,"Disney Classic Games: Aladdin and The Lion King
Read the review",Unknown,Disney Interactive,8.0,N/A,N/A,N/A,N/A,03rd Nov 19
801,Disney Tsum Tsum Festival,Bandai Namco Entertainment,Bandai Namco,N/A,N/A,N/A,N/A,08th Nov 19,14th Feb 19
802,Divinity: Original Sin 2 - Definitive Edition,Larian Studios,Larian Studios,N/A,N/A,N/A,N/A,04th Sep 19,15th Sep 19
803,Dodgeball Academia,Unknown,Pocket Trap,N/A,N/A,N/A,N/A,N/A,14th Jun 21
804,Doki Doki Literature Club Plus!,Serenity Forge,Team Salvato,N/A,N/A,N/A,N/A,30th Jun 21,13th Jun 21
805,Don't Knock Twice,Wales Interactive Ltd.,Wales Interactive Ltd.,N/A,N/A,N/A,N/A,17th Oct 17,03rd Feb 18
806,Donut County,Annapurna Interactive,Ben Esposito,N/A,N/A,N/A,N/A,18th Dec 18,14th Dec 18
807,Doom,Bethesda Softworks,id Software,N/A,N/A,N/A,N/A,26th Jul 19,30th Jul 19
808,Doom 3,Bethesda Softworks,id Software,N/A,N/A,N/A,N/A,26th Jul 19,30th Jul 19
809,Doom 64,Bethesda Softworks,Nightdive Studios,N/A,N/A,N/A,N/A,20th Mar 20,22nd Jan 20
810,Doom Eternal,Bethesda Softworks,id Software,N/A,N/A,N/A,N/A,20th Dec 20,13th Jun 18
811,Doom Eternal: The Ancient Gods - Part Two,Unknown,id Software,N/A,N/A,N/A,N/A,N/A,01st Apr 21
812,Doom II,Bethesda Softworks,id Software,N/A,N/A,N/A,N/A,26th Jul 19,30th Jul 19
813,Doraemon: Nobita's Chronicle of the Moon Exploration,FuRyu Corporation,FuRyu,N/A,N/A,N/A,N/A,28th Feb 19,21st Mar 19
814,Doraemon: Nobita's Story of Seasons,Bandai Namco,Marvelous,N/A,N/A,N/A,N/A,11th Oct 19,08th Apr 19
815,"Double Cross
Read the review",Graffiti,13AM Games,6.0,N/A,N/A,N/A,10th Jan 19,02nd Jan 19
816,"Double Dragon & Kunio-kun: Retro Brawler Bundle
Read the review",Unknown,Arc System Works,7.0,N/A,N/A,N/A,N/A,19th Feb 20
817,Double Dragon 4,Arc System Works,InterOne,N/A,N/A,N/A,N/A,07th Sep 17,11th Mar 18
818,Down in Bermuda,Unknown,Yak & co,N/A,N/A,N/A,N/A,N/A,27th Jan 21
819,"Down to Hell
Read the review",Unknown,Red Dev Studio,2.0,N/A,N/A,N/A,N/A,04th Feb 20
820,Downwell,Devolver Digital,Moppin,N/A,N/A,N/A,N/A,31st Jan 19,26th Jun 19
821,DragoDino,Plug In Digital,Plug In Digital,N/A,N/A,N/A,N/A,27th Apr 18,23rd Mar 18
822,Dragon Blaze,Unknown,ZeroDiv,N/A,N/A,N/A,N/A,N/A,16th Jan 20
823,Dragon Quest,Square Enix,Square Enix,N/A,N/A,N/A,N/A,27th Sep 19,09th Mar 20
824,Dragon Quest II,Square Enix,Square Enix,N/A,N/A,N/A,N/A,27th Sep 19,09th Mar 20
825,Dragon Quest III,Square Enix,Square Enix,N/A,N/A,N/A,N/A,27th Sep 19,09th Mar 20
826,Dragon Quest XII,Unknown,Square Enix,N/A,N/A,N/A,N/A,N/A,02nd Aug 21
827,Dragon Sinker,Kemco,Exe Create Inc.,N/A,N/A,N/A,N/A,22nd Feb 18,21st Feb 18
828,Dragon Star Varnir,Unknown,Compile Heart,N/A,N/A,N/A,N/A,N/A,26th Jun 21
829,Dragon's Dogma: Dark Arisen,Capcom,Capcom,N/A,N/A,N/A,N/A,23rd Apr 19,22nd Mar 19
830,"Dragon: Marked For Death
Read the review",Inti Creates,Inti Creates,6.0,N/A,N/A,N/A,26th Feb 19,12th Jan 19
831,DragonFangZ - The Rose & Dungeon of Time,Toydea Inc.,Toydea Inc.,N/A,N/A,N/A,N/A,19th Dec 17,11th Mar 18
832,Dragons: Dawn of New Riders,Unknown,Outright Games,N/A,N/A,N/A,N/A,N/A,11th Nov 18
833,Draw a Stickman: EPIC 2,Hitcents,Hitcents,N/A,N/A,N/A,N/A,11th Jan 18,15th Mar 18
834,"Dreamscaper
Read the review",Unknown,Afterburner Studios,8.0,N/A,N/A,N/A,N/A,23rd Jul 21
835,Duke Nukem 3D: 20th Anniversary World Tour,Gearbox Publishing,Gearbox Software,N/A,N/A,N/A,N/A,23rd Jun 20,19th Jun 20
836,Dull Grey,Unknown,Provodnik Games,N/A,N/A,N/A,N/A,N/A,02nd May 21
837,Dungeon of the Endless,Sega,Amplitude Studios,N/A,N/A,N/A,N/A,01st Dec 19,07th Aug 19
838,Dusk Diver,JFI Games,JFI Games,N/A,N/A,N/A,N/A,01st Dec 19,10th Apr 19
839,Dust: An Elysian Tail,Humble Hearts,Humble Hearts,N/A,N/A,10.0,N/A,10th Sep 18,26th Sep 18
840,Dustoff Heli Rescue 2,Rainy Frog,Invictus Games,N/A,N/A,N/A,N/A,25th Jan 18,11th Mar 18
841,Dynasty Warriors 8: Xtreme Legends Definitive Edition,Unknown,Omega Force,N/A,N/A,N/A,N/A,N/A,06th Nov 21
842,Dynasty Warriors 9: Empires,Unknown,Koei Tecmo Games,N/A,N/A,N/A,N/A,N/A,09th Feb 22
843,Earth Atlantis,Headup Games,Pixel Perfex,N/A,N/A,N/A,N/A,05th Oct 17,12th Mar 18
844,Earth Defense Force: World Brothers,D3 Publisher,D3 Publisher,N/A,N/A,N/A,N/A,01st Dec 20,16th Jul 20
845,Earth Wars,One or Eight Inc.,One or Eight Inc.,N/A,N/A,N/A,N/A,25th Jan 18,12th Mar 18
846,Earthlock,Snowcastle Games,CrossFunction,N/A,N/A,N/A,N/A,08th Mar 18,23rd Mar 18
847,Eastward,Chucklefish,Pixpil,N/A,N/A,N/A,N/A,30th Dec 20,13th Sep 19
848,EAT BEAT DEADSPIKE-san,Arc System Works,Arc System Works,N/A,N/A,N/A,N/A,22nd Mar 18,23rd Mar 18
849,eBaseball Powerful Pro Baseball 2020,Konami Digital Entertainment,Konami,N/A,N/A,N/A,N/A,09th Jul 20,17th Jul 20
850,eBASEBALL Powerful Pro Baseball 2022,Unknown,Konami,N/A,N/A,N/A,N/A,N/A,09th Jun 22
851,Eldest Souls,Unknown,Fallen Flag Studio,N/A,N/A,N/A,N/A,N/A,15th Jun 21
852,ELEA: Paradigm Shift,Unknown,Kyodai,N/A,N/A,N/A,N/A,N/A,29th Jan 20
853,Elliot Quest,PlayEveryWare Games,Ansimuz,N/A,N/A,N/A,N/A,19th Oct 17,12th Mar 18
854,Embers of Mirrim,Creative Bytes Studios,Creative Bytes Studios,N/A,N/A,N/A,N/A,07th Dec 17,12th Mar 18
855,Empire of Sin,Paradox Interactive,Romero Games,N/A,N/A,N/A,N/A,01st Dec 20,12th Jun 19
856,Enchanting Mahjong Match,D3Publisher,Orgesta,N/A,N/A,N/A,N/A,15th Mar 18,23rd Mar 18
857,"Ender Lilies: Quietus of the Knights
Read the review",Unknown,Live Wire,8.0,N/A,N/A,N/A,N/A,05th Jul 21
858,Energy Balance,Sometimes You,Sometimes You,N/A,N/A,N/A,N/A,16th Jan 18,01st Mar 18
859,Energy Cycle,Evgeniy Kolpakov,Sometimes You,N/A,N/A,N/A,N/A,25th Dec 17,03rd Feb 19
860,Energy Invasion,Evgeniy Kolpakov,Sometimes You,N/A,N/A,N/A,N/A,11th Jan 18,12th Mar 18
861,Enigmatis 2: The Mists Of Ravenwood,Artifex Mundi sp. z o.o.,Artifex Mundi sp. z o.o.,N/A,N/A,8.0,N/A,25th May 18,06th Jun 18
862,Escape Trick: 35 Fateful Enigmas,D3 Publisher,D3 Publisher,N/A,N/A,N/A,N/A,15th Feb 18,12th Mar 18
863,Eternal Card Game,Unknown,Dire Wolf Digital,N/A,N/A,N/A,N/A,N/A,21st Feb 22
864,"Everhood
Read the review",Unknown,Chris Nordgren,8.5,N/A,N/A,N/A,N/A,07th Mar 21
865,Everspace,Rockfish Games,Rockfish Games,N/A,N/A,N/A,N/A,11th Dec 18,08th Nov 20
866,Evil Dead: The Game,Unknown,Saber Interactive,N/A,N/A,N/A,N/A,N/A,10th Jun 21
867,Evil Inside,Unknown,JanduSoft,N/A,N/A,N/A,N/A,N/A,22nd Apr 21
868,Evoland Legendary Edition,Unknown,Shiro Games,N/A,N/A,N/A,N/A,N/A,24th Jan 19
869,"Exception
Read the review",Traxmaster Software,Traxmaster Software,7.0,N/A,N/A,N/A,13th Aug 19,11th Aug 19
870,Exit the Gungeon,Devolver Digital,Dodge Roll,N/A,N/A,N/A,N/A,17th Mar 20,28th Mar 20
871,F.I.S.T.,Unknown,TiGames,N/A,N/A,N/A,N/A,N/A,18th Jun 22
872,Fairy Tail,Koei Tecmo,Gust,N/A,N/A,N/A,N/A,31st Jul 20,02nd Dec 19
873,Fall Guys: Ultimate Knockout,Unknown,Mediatonic Ltd.,N/A,N/A,N/A,N/A,N/A,17th Feb 21
874,Fall of Light,Unknown,RuneHeads,N/A,N/A,N/A,N/A,N/A,05th Sep 18
875,Fallen Legion Revenants,NIS America,YummyYummyTummy,N/A,N/A,N/A,N/A,16th Feb 21,07th Jun 21
876,Famicom Detective Club: The Girl Who Stands Behind,Unknown,Nintendo,N/A,N/A,N/A,N/A,N/A,18th Feb 21
877,Famicom Detective Club: The Missing Heir,Unknown,Nintendo,N/A,N/A,N/A,N/A,N/A,18th Feb 21
878,Fantasy Hero: Unsigned Legacy,Arc System Works,Arc System Works,N/A,N/A,N/A,N/A,25th Jan 18,12th Mar 18
879,Fantasy Strike,Sirlin Games,Sirlin Games,N/A,N/A,N/A,N/A,01st Jul 18,23rd Mar 18
880,FAR: Changing Tides,Unknown,Okomotive,N/A,N/A,N/A,N/A,N/A,14th Jun 21
881,FAR: Lone Sails,Mixtvision,Okomotive,N/A,N/A,N/A,N/A,18th Aug 19,09th Aug 19
882,Farm Expert 2018,SimFabric,SimFabric,N/A,N/A,N/A,N/A,30th Mar 18,23rd Mar 18
883,Farming Simulator & Hunting Simulator Bundle,Unknown,Maximum Games,N/A,N/A,N/A,N/A,N/A,11th Nov 18
884,Fast RMX,Shin'en,Shin'en,N/A,N/A,8.0,N/A,03rd Mar 17,12th Mar 18
885,Fatal Frame: Maiden of Black Water,Unknown,Koei Tecmo Games,N/A,N/A,N/A,N/A,N/A,16th Jun 21
886,Fate/Extella Link,Xseed Games,Marvelous,N/A,N/A,N/A,N/A,12th Mar 19,30th Dec 18
887,fault - milestone one,Sekai Project,ALICE IN DISSONANCE,N/A,N/A,N/A,N/A,03rd Oct 19,04th Apr 19
888,Fe,EA Originals,Zoink Games,N/A,N/A,N/A,N/A,16th Feb 18,05th Feb 18
889,Fear Effect Sedna,Square Enix,Sushee,N/A,N/A,N/A,N/A,06th Mar 18,05th Jan 18
890,"Fell Seal: Arbiter's Mark
Read the review",Unknown,6 Eyes Studio,7.0,N/A,N/A,N/A,N/A,14th Sep 19
891,Feudal Alloy,Attu Games,Attu Games,N/A,N/A,N/A,N/A,17th Jan 19,14th May 19
892,Fez,Polytron Corporation,Polytron Corporation,N/A,N/A,N/A,N/A,14th Apr 21,24th May 22
893,FIFA 20,EA Sports,Electronic Arts,N/A,N/A,N/A,N/A,27th Sep 19,10th Jun 19
894,FIFA 21,Electronic Arts,EA Vancouver,N/A,N/A,N/A,N/A,09th Oct 20,19th Jun 20
895,Fight Crab,Playism,Calappa Games,N/A,N/A,N/A,N/A,15th Sep 20,27th Jul 20
896,Figment,Bedtime Digital Games,Bedtime Digital Games,N/A,N/A,N/A,N/A,28th Jun 18,20th Apr 19
897,Final Fantasy Crystal Chronicles: Remastered Edition,Square Enix,Square Enix,N/A,N/A,N/A,N/A,27th Aug 20,10th Apr 19
898,Final Fantasy IX,Square Enix,GUILD STUDIO Inc.,N/A,N/A,7.0,N/A,13th Feb 19,14th Feb 19
899,Final Fantasy VII,Square Enix,Square Enix,N/A,N/A,9.5,N/A,26th Mar 19,23rd Mar 19
900,Final Fantasy VIII Remastered,Square Enix,Square Enix,N/A,N/A,N/A,N/A,03rd Sep 19,11th Jun 19
901,Final Fantasy X / X-2 HD Remaster,Square Enix,Square Enix,N/A,N/A,N/A,N/A,16th Apr 19,22nd Mar 19
902,Final Fantasy XII: The Zodiac Age,Square Enix,Square Enix,N/A,N/A,N/A,N/A,30th Apr 19,01st Apr 19
903,Final Fantasy XV Pocket Edition HD,Square Enix,Square Enix,N/A,N/A,N/A,N/A,13th Sep 18,18th Dec 18
904,Final Vendetta,Unknown,Bitmap Bureau,N/A,N/A,N/A,N/A,N/A,06th May 22
905,Fire Emblem Warriors: Three Hopes,Nintendo,Omega Force,N/A,N/A,N/A,N/A,24th Jun 22,09th Feb 22
906,"Fire Emblem: Shadow Dragon and the Blade of Light
Read the review",Nintendo,Intelligent Systems,N/A,N/A,N/A,N/A,04th Dec 20,22nd Jan 21
907,Firegirl,Unknown,Dejima Games,N/A,N/A,N/A,N/A,N/A,12th Jun 21
908,Firewatch,Campo Santo,Campo Santo,N/A,N/A,N/A,N/A,17th Dec 18,08th Dec 18
909,Five Nights at Freddy's,Unknown,Scott Cawthon,N/A,N/A,N/A,N/A,N/A,28th Nov 19
910,Five Nights at Freddy's 2,Unknown,Scott Cawthon,N/A,N/A,N/A,N/A,N/A,28th Nov 19
911,Five Nights at Freddy's 3,Unknown,Scott Cawthon,N/A,N/A,N/A,N/A,N/A,28th Nov 19
912,Five Nights at Freddy's 4,Unknown,Scott Cawthon,N/A,N/A,N/A,N/A,N/A,28th Nov 19
913,"Flat Heroes
Read the review",Deck 13,Parallel Circles,7.0,N/A,N/A,N/A,02nd Aug 18,01st Aug 18
914,Flinthook,Tribute Games,Tribute Games,N/A,N/A,N/A,N/A,09th Mar 18,03rd Mar 18
915,Flip Wars,Nintendo,Over Fence,N/A,N/A,N/A,N/A,10th Aug 17,12th Mar 18
916,Flipper Mechanic,SimFabric,SimFabric,N/A,N/A,N/A,N/A,01st Dec 21,15th Jun 20
917,Floor Kids,MERJ Media,MERJ Media,N/A,N/A,9.0,N/A,01st Jan 18,07th Jan 18
918,Football Manager 2020,Unknown,Sports Interactive,N/A,N/A,N/A,N/A,N/A,22nd Nov 19
919,Football Manager 2022,Unknown,Sports Interactive,N/A,N/A,N/A,N/A,N/A,11th Sep 21
920,Foreclosed,Unknown,Antab Studio,N/A,N/A,N/A,N/A,N/A,23rd Jul 21
921,forma.8,Mixedbag Srl,Mixedbag Srl,N/A,N/A,N/A,N/A,24th Aug 17,12th Mar 18
922,Four Legerrior,Kemco,Kemco,N/A,N/A,N/A,N/A,06th Jun 19,06th May 19
923,Frane: Dragons' Odyssey,Kemco,Kemco,N/A,N/A,N/A,N/A,09th May 19,06th May 19
924,Frederic 2: Evil Strikes Back,Forever Entertainment S.A.,Forever Entertainment S.A.,N/A,N/A,N/A,N/A,01st Feb 18,01st Feb 18
925,Frederic: The Resurrection of Music,Forever Entertainment S.A.,Forever Entertainment S.A.,N/A,N/A,N/A,N/A,21st Dec 17,04th Feb 18
926,Freedom Planet,Galaxy Trail,Galaxy Trail,N/A,N/A,9.0,N/A,30th Aug 18,11th Aug 18
927,Friday the 13th: The Game,Gun Media,IllFonic,N/A,N/A,9.2,N/A,13th Aug 19,27th Jul 19
928,Frost,Unknown,Studio des Tenebres,N/A,N/A,N/A,N/A,N/A,03rd Jul 18
929,FruitFall Crush,System 3,System 3 Software,N/A,N/A,N/A,N/A,21st Dec 17,12th Mar 18
930,Fuga,Unknown,CyberConnect2,N/A,N/A,N/A,N/A,N/A,05th Feb 18
931,Fuga: Melodies of Steel,Unknown,CyberConnect2,N/A,N/A,N/A,N/A,N/A,14th Jun 21
932,Furi,The Game Bakers,The Game Bakers,N/A,N/A,N/A,N/A,11th Jan 18,09th Jan 18
933,"Fury Unleashed
Read the review",Unknown,Awesome Games Studio,7.0,N/A,N/A,N/A,N/A,09th May 20
934,Fuser,NCSoft,Harmonix Music Systems,N/A,N/A,N/A,N/A,10th Nov 20,02nd Jun 20
935,"G-Darius HD
Read the review",Unknown,Taito,N/A,N/A,N/A,N/A,N/A,02nd Sep 21
936,G.I. Joe: Operation Blackout,GameMill Entertainment,Fair Play Labs,N/A,N/A,N/A,N/A,13th Oct 20,24th Sep 20
937,G.I. Joe: Operation Blackout (Gold Edition),GameMill Entertainment,Fair Play Labs,N/A,N/A,N/A,N/A,31st Jul 21,21st Dec 21
938,"Gal*Gun Returns
Read the review",PQube,Inti Creates,4.5,N/A,N/A,N/A,12th Feb 21,28th Jan 21
939,Game Dev Story,Kairosoft Co. Ltd,Kairosoft Co. Ltd,N/A,N/A,N/A,N/A,11th Oct 18,06th Oct 18
940,Game Dev Tycoon,Greenheart Games,Rarebyte,N/A,N/A,N/A,N/A,11th Oct 20,03rd Sep 20
941,"Garage
Read the review",TinyBuild Games,Zombie Dynamics,3.0,N/A,N/A,N/A,01st May 18,23rd Mar 18
942,Garden Story,Unknown,Picogram,N/A,N/A,N/A,N/A,N/A,12th Jun 21
943,Garfield Kart: Furious Racing,Microids,Microids,N/A,N/A,N/A,N/A,05th Nov 19,01st Aug 19
944,"Gato Roboto
Read the review",Devolver Digital,Doinksoft,7.0,N/A,N/A,N/A,30th May 19,01st Jun 19
945,Gear.Club Unlimited 2,Microids,Eden Games,N/A,N/A,N/A,N/A,04th Dec 18,19th Dec 18
946,Gekido Kintaro's Revenge,Naps Team,Naps Team,N/A,N/A,N/A,N/A,22nd Mar 18,30th Jan 18
947,Gelly Break,Unknown,EuroVideo Medien,N/A,N/A,N/A,N/A,N/A,25th Apr 19
948,Gem Smashers,TREVA Entertainment,TREVA Entertainment,N/A,N/A,N/A,N/A,15th Mar 18,23rd Mar 18
949,Genshin Impact,miHoYo,miHoYo,N/A,N/A,N/A,N/A,01st Dec 20,14th Jan 20
950,Genso Skydrift,illuCalab,illuCalab,N/A,N/A,N/A,N/A,12th Dec 19,16th Jun 19
951,Georifters,Another Indie,Busy Toaster,N/A,N/A,N/A,N/A,01st Dec 20,05th Aug 19
952,Ghost Parade,Unknown,Aksys Games,N/A,N/A,N/A,N/A,N/A,08th Jul 18
953,Ghostbusters: The Video Game Remastered,Saber Interactive,Mad Dog Games,N/A,N/A,N/A,N/A,04th Oct 19,08th Aug 19
954,Ghostrunner,Unknown,One More Level,N/A,N/A,N/A,N/A,N/A,06th Nov 21
955,Ghostrunner: Project_Hel,Unknown,One More Level,N/A,N/A,N/A,N/A,N/A,13th Jan 22
956,"Ghosts 'n Goblins Resurrection
Read the review",Capcom,Capcom,9.0,N/A,N/A,N/A,25th Feb 21,26th Feb 21
